screen_seq,record_id,doi,arxiv_id,title,authors,year,venue,venue_tier,lineages,screen_score,abstract_available,decision,reason_code,note,lineage_final,screened_utc,screener
111,doi:10.6028/nist.ai.100-2e2023,10.6028/nist.ai.100-2e2023,,Adversarial machine learning :,Apostol Vassilev; Alina Oprea; Alie Jean Fordyce; Hyrum S. Anderson,2024,,other,L5_lie_geometry_equivariant; L_killer_precision,12.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,NIST adversarial-ML taxonomy,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
112,doi:10.1002/9781119882350.ch1,10.1002/9781119882350.ch1,,Nonlinear Methods for Fault Diagnosis,Silvio Simani; Paolo Castaldi,2021,Diagnosis and Fault‐tolerant Control 2,other,L2_manipulator_actuator_sensor_fdi; L_killer_precision,12.416,true,EXCLUDE,OFF_TOPIC_OTHER,Book chapter overview of nonlinear FD; classic FDI is covered by curated classics track,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
113,doi:10.1016/b978-0-323-89783-9.00002-3,10.1016/b978-0-323-89783-9.00002-3,,Earth fault loop impedance measurement in circuits with residual current devices,Stanislaw Czapp,2022,Residual Current Devices,other,L2_manipulator_actuator_sensor_fdi; L_killer_precision,12.416,false,EXCLUDE,NOT_ROBOT_DOMAIN,Electrical installation fault chapter,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
114,doi:10.3390/e23060751,10.3390/e23060751,,Sensor and Actuator Fault Diagnosis for Robot Joint Based on Deep CNN,Jinghui Pan; Lili Qu; Kaixiang Peng,2021,Entropy,MDPI,L11_active_diagnosis; L4_structured_chain_graph_dynamics,12.404,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,Deep CNN sensor/actuator joint fault diagnosis (Entropy); same line as Sci-Rep DRNN paper,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
115,doi:10.1109/iecon51785.2023.10311726,10.1109/iecon51785.2023.10311726,,Robotic Arm Dataset (RoAD): A Dataset to Support the Design and Test of Machine Learning-Driven Anomaly Detection in a Production Line,Alessio Mascolini; Sebastiano Gaiardelli; Francesco Ponzio; Nicola Dall’Ora; Enrico Macii; Sara Vinco; Santa Di Cataldo; Franco Fummi,2023,IECON 2023- 49th Annual Conference of the IEEE Industrial Electronics Society,other,L8_public_benchmarks_transfer,12.248,true,INCLUDE_PRIORITY,DATASET_OR_CODE_PAPER,"RoAD dataset paper (IECON23); mandatory dataset, native-baseline source of truth",L8_public_benchmarks_transfer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
116,doi:10.1016/j.ast.2021.107050,10.1016/j.ast.2021.107050,,A 6-DOF sliding mode fault tolerant control solution for in-orbit autonomous rendezvous,David Henry; Jazmín Zenteno-Torres; Jérôme Cieslak; Alejandra Ferreira de Loza; Jorge Dávila,2021,Aerospace Science and Technology,other,L2_manipulator_actuator_sensor_fdi; L4_structured_chain_graph_dynamics,12.183,false,EXCLUDE,WRONG_OBJECT,Spacecraft rendezvous FTC,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
117,doi:10.1109/lra.2025.3552318,10.1109/lra.2025.3552318,,Uncertainty-Aware Real-Time Visual Anomaly Detection With Conformal Prediction in Dynamic Indoor Environments,Arya Saboury; Mustafa Kemal Uyguroglu,2025,IEEE Robotics and Automation Letters,R,L5_lie_geometry_equivariant; L7_mtsad_context_ood_sequential,12.168,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"Conformal-prediction visual AD for navigation; calibration idea relevant, wrong modality/platform",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
118,doi:10.1109/robosoft63089.2025.11020943,10.1109/robosoft63089.2025.11020943,,Proprioceptive Origami Manipulator,Aida Parvaresh; Arman Goshtasbi; Jonathan Tirado; Ahmad Rafsanjani,2025,2025 IEEE 8th International Conference on Soft Robotics (RoboSoft),other,L2_manipulator_actuator_sensor_fdi; L6_contact_collision_localization,12.159,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Origami manipulator proprioceptive sensing design,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
119,doi:10.1109/icra48891.2023.10160661,10.1109/icra48891.2023.10160661,,Collision Detection and Contact Point Estimation Using Virtual Joint Torque Sensing Applied to a Cobot,Dario Zurlo; Tom Heitmann; Merlin Morlock; Alessandro De Luca,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),R,L6_contact_collision_localization,12.083,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,Energy+momentum combined collision detection with contact-point estimation on industrial cobot (ICRA23); direct L6,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
120,doi:10.1016/j.engappai.2023.107141,10.1016/j.engappai.2023.107141,,Adaptive technique for physical human–robot interaction handling using proprioceptive sensors,Dmitry Popov; Anatol Pashkevich; Alexandr Klimchik,2023,Engineering Applications of Artificial Intelligence,other,L2_manipulator_actuator_sensor_fdi; L6_contact_collision_localization,12.075,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Proprioceptive DRNN+FSM interaction-mode discrimination (EAAI); L6 contact-vs-interaction classification,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
121,doi:10.1109/icra48891.2023.10161217,10.1109/icra48891.2023.10161217,,"Towards Human-Robot Collaboration with Parallel Robots by Kinetostatic Analysis, Impedance Control and Contact Detection",Aran Mohammad; Moritz Schappler; Tobias Ortmaier,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),R,L6_contact_collision_localization,12.039,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Kinetostatic contact detection for parallel robots (ICRA23); L6 Hannover PR line,L6_contact_collision_localization,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
122,doi:10.1007/s00521-023-08459-3,10.1007/s00521-023-08459-3,,Data Augmentation techniques in time series domain: a survey and taxonomy,Guillermo Iglesias; Edgar Talavera; Ángel González-Prieto; Alberto Mozó; Sandra Gómez-Canaval,2023,Neural Computing and Applications,other,L10_cross_robot_few_shot; L8_public_benchmarks_transfer,12.0,true,EXCLUDE,SURVEY_TANGENTIAL,Generic TS data-augmentation survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
123,doi:10.1016/b978-0-44-344291-9.00011-4,10.1016/b978-0-44-344291-9.00011-4,,Generalized zero-sample industrial fault diagnosis under cross-domain scenarios,Hongpeng Yin; Li Cai; Peng Zhang,2026,INTELLIGENT FAULT DIAGNOSIS AND PROGNOSIS FOR INDUSTRIAL SYSTEMS,other,L10_cross_robot_few_shot; L_killer_precision,12.0,false,EXCLUDE,OFF_TOPIC_OTHER,Book chapter on zero-sample cross-domain industrial FD; journal original would resurface via citations,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
124,doi:10.1016/j.eswa.2023.120696,10.1016/j.eswa.2023.120696,,Generalized MAML for few-shot cross-domain fault diagnosis of bearing driven by heterogeneous signals,Jian Lin; Haidong Shao; Xiangdong Zhou; Baoping Cai; Bin Liu,2023,Expert Systems with Applications,other,L10_cross_robot_few_shot; L11_active_diagnosis,12.0,false,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Generalized MAML few-shot cross-domain FD (ESWA); representative few-shot cross-domain method for L10,L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
125,doi:10.1109/access.2022.3180153,10.1109/access.2022.3180153,,Fault Diagnosis and Fault-Tolerant Control of PMSM Drives–State of the Art and Future Challenges,Teresa Orłowska-Kowalska; Marcin Wolkiewicz; Przemysław Pietrzak; Maciej Skowron; P. Ewert; Grzegorz Tarchała; Mateusz Krzysztofiak; C. T. Kowalski,2022,IEEE Access,other,L10_cross_robot_few_shot; L11_active_diagnosis,12.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,PMSM drive FD review; actuator-level fault family background,L2_manipulator_actuator_sensor_fdi,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
126,doi:10.1109/jproc.2022.3171691,10.1109/jproc.2022.3171691,,A Comprehensive Review on Signal-Based and Model-Based Condition Monitoring of Wind Turbines: Fault Diagnosis and Lifetime Prognosis,Hamed Badihi; Youmin Zhang; Bin Jiang; Pragasen Pillay; Subhash Rakheja,2022,Proceedings of the IEEE,other,L10_cross_robot_few_shot; L11_active_diagnosis,12.0,true,EXCLUDE,PROCESS_MACHINERY_ONLY,Wind-turbine condition monitoring review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
127,doi:10.1145/3649448,10.1145/3649448,,Deep Learning for Time Series Classification and Extrinsic Regression: A Current Survey,Navid Mohammadi Foumani; Lynn Miller; Chang Wei Tan; Geoffrey I. Webb; Germain Forestier; Mahsa Salehi,2024,ACM Computing Surveys,other,L10_cross_robot_few_shot; L8_public_benchmarks_transfer,12.0,true,EXCLUDE,SURVEY_TANGENTIAL,TS classification/regression survey; not AD,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
128,doi:10.3901/jme.2024.21.099,10.3901/jme.2024.21.099,,Robot Collision Detection Based on Bandpass Filtered Second-order Momentum Observer,,2024,Journal of Mechanical Engineering,other,L3_learned_momentum_observer; L7_mtsad_context_ood_sequential,12.0,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Bandpass-filtered 2nd-order MOB collision detection (Chinese JME); MOB engineering variant,L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
129,doi:10.1007/s00170-021-08047-6,10.1007/s00170-021-08047-6,,Technology development and commercial applications of industrial fault diagnosis system: a review,Chengze Liu; A. Cichoń; Grzegorz Królczyk; Zhixiong Li,2021,The International Journal of Advanced Manufacturing Technology,other,L10_cross_robot_few_shot; L11_active_diagnosis,11.957,true,EXCLUDE,PROCESS_MACHINERY_ONLY,CBM commercial systems review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
130,doi:10.3390/s21216979,10.3390/s21216979,,Predictive Maintenance: An Autoencoder Anomaly-Based Approach for a 3 DoF Delta Robot,Kiavash Fathi; Hans Wernher van de Venn; Marcel Honegger,2021,Sensors,MDPI,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.931,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,"AE-based PdM on delta robot (Sensors); healthy-only AE line, MDPI",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
131,doi:10.20944/preprints202509.1592.v1,10.20944/preprints202509.1592.v1,,An Adaptive External Torque Estimation Algorithm for Collision Detection in Robotic Arms,Cheng Yan; Ming Lyu; Yaowei Chen; Jie Zhang,2025,Sensors,MDPI,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics,11.916,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,Variational-Bayes KF external torque estimation (MDPI preprint),L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
132,doi:10.36227/techrxiv.174742058.83011810/v1,10.36227/techrxiv.174742058.83011810/v1,,Learning-Based Contact Interpretation with LSTM Networks: A Transferable Skill for Robots,Maryam Rezayati; Kyu Min Park; Hans Wernher van de Venn,2025,,other,L3_learned_momentum_observer; L8_public_benchmarks_transfer,11.916,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,"LSTM contact interpretation claimed transferable across robots/DoFs (TechRxiv); direct L10 topic, preprint status noted",L10_cross_robot_few_shot,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
133,doi:10.1017/s0263574723001091,10.1017/s0263574723001091,,A brief survey of observers for disturbance estimation and compensation,Teng Li; Hongjun Xing; Ehsan Hashemi; Hamid D. Taghirad; Mahdi Tavakoli,2023,Robotica,other,L2_manipulator_actuator_sensor_fdi; L3_learned_momentum_observer,11.827,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Robotica survey of disturbance/uncertainty observers; L3 taxonomy grounding,L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
134,doi:10.3390/machines10090818,10.3390/machines10090818,,A Novel Sliding Mode Momentum Observer for Collaborative Robot Collision Detection,Shike Long; Xuanju Dang; Shanlin Sun; Yongjun Wang; Mingzhen Gui,2022,Machines,MDPI,L3_learned_momentum_observer; L7_mtsad_context_ood_sequential,11.797,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,"Sliding-mode MOB (Machines); MOB variant, MDPI",L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
135,doi:10.3389/frobt.2022.982131,10.3389/frobt.2022.982131,,Occluded object detection and exposure in cluttered environments with automated hyperspectral anomaly detection,Nathaniel Hanson; Gary Lvov; Taşkın Padir,2022,Frontiers in Robotics and AI,other,L7_mtsad_context_ood_sequential; L_killer_precision,11.7,true,EXCLUDE,WRONG_OBJECT,Hyperspectral occluded-object detection,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
136,doi:10.3390/s24041330,10.3390/s24041330,,Anomaly Detection Methods in Autonomous Robotic Missions,Shivoh Chirayil Nandakumar; Daniel Mitchell; Mustafa Suphi Erden; David Flynn; Theodore Lim,2024,Sensors,MDPI,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.664,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,"Review of AD in autonomous robotic missions (Sensors); robot-AD landscape map, MDPI",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
137,doi:10.1016/j.neunet.2020.11.018,10.1016/j.neunet.2020.11.018,,Artificial fly visual joint perception neural network inspired by multiple-regional collision detection,Lun Li; Zhuhong Zhang; Jiaxuan Lu,2021,Neural Networks,other,L3_learned_momentum_observer; L4_structured_chain_graph_dynamics,11.583,false,EXCLUDE,NOT_ROBOT_DOMAIN,Fly-visual bio-inspired collision perception,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
138,doi:10.1007/s10462-023-10562-9,10.1007/s10462-023-10562-9,,A survey of uncertainty in deep neural networks,Jakob Gawlikowski; Cedrique Rovile Njieutcheu Tassi; Mohsin Ali; Jong‐Seok Lee; Matthias Humt; Jianxiang Feng; Anna Kruspe; Rudolph Triebel; Peter Jung; Ribana Roscher; Muhammad Shahzad; Wen Yang; Richard Bamler; Xiao Xiang Zhu,2023,Artificial Intelligence Review,other,L3_learned_momentum_observer; L5_lie_geometry_equivariant,11.5,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,DNN uncertainty survey; calibration background,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
139,doi:10.1007/s10462-024-11100-x,10.1007/s10462-024-11100-x,,"Deep learning and computer vision in plant disease detection: a comprehensive review of techniques, models, and trends in precision agriculture",Abhishek Upadhyay; Narendra Singh Chandel; Krishna Pratap Singh; Subir Kumar Chakraborty; B. M. Nandede; Mohit Kumar; A. Subeesh; Konga Upendar; Ali Salem; Ahmed Elbeltagi,2025,Artificial Intelligence Review,other,L10_cross_robot_few_shot; L9_foundation_multimodal,11.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,Plant-disease CV review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
140,doi:10.1017/s0140525x04000093,10.1017/s0140525x04000093,,"The emulation theory of representation: Motor control, imagery, and perception",Rick Grush,2004,Behavioral and Brain Sciences,other,L5_lie_geometry_equivariant; L6_contact_collision_localization,11.5,true,EXCLUDE,PRE_WINDOW_NOT_CLASSIC,Emulation-theory cognitive science essay,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
141,doi:10.1109/access.2021.3083060,10.1109/access.2021.3083060,,Machine Learning for Anomaly Detection: A Systematic Review,Ali Bou Nassif; Manar Abu Talib; Qassim Nasir; Fatima Dakalbab,2021,IEEE Access,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,EXCLUDE,SURVEY_TANGENTIAL,Generic ML-AD systematic review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
142,doi:10.1109/access.2023.3304992,10.1109/access.2023.3304992,,Intelligent Control of Multilegged Robot Smooth Motion: A Review,Yongyong Zhao; Jinghua Wang; Guohua Cao; Yi Yuan; Yao Xu; Luqiang Qi,2023,IEEE Access,other,L3_learned_momentum_observer; L7_mtsad_context_ood_sequential,11.5,true,EXCLUDE,WRONG_OBJECT,Multilegged locomotion control review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
143,doi:10.1109/comst.2023.3249835,10.1109/comst.2023.3249835,,"On the Road to 6G: Visions, Requirements, Key Technologies, and Testbeds",Cheng‐Xiang Wang; Xiaohu You; Xiqi Gao; Xiuming Zhu; Zixin Li; Chuan Zhang; Haiming Wang; Yongming Huang; Yunfei Chen; Harald Haas; John Thompson; Erik G. Larsson; Marco Di Renzo; Wen Tong; Peiying Zhu; Xuemin Shen; H. Vincent Poor; Lajos Hanzo,2023,IEEE Communications Surveys & Tutorials,other,L4_structured_chain_graph_dynamics; L6_contact_collision_localization,11.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,6G survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
144,doi:10.1109/icst49551.2021.00031,10.1109/icst49551.2021.00031,,Digital Twin-based Anomaly Detection in Cyber-physical Systems,Qinghua Xu; Shaukat Ali; Tao Yue,2021,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,Digital-twin AD on CPS testbeds,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
145,doi:10.1109/tcyb.2023.3256080,10.1109/tcyb.2023.3256080,,Filter-Informed Spectral Graph Wavelet Networks for Multiscale Feature Extraction and Intelligent Fault Diagnosis,Tianfu Li; Chuang Sun; Olga Fink; Yuangui Yang; Xuefeng Chen; Ruqiang Yan,2023,IEEE Transactions on Cybernetics,other,L4_structured_chain_graph_dynamics; L5_lie_geometry_equivariant,11.5,true,INCLUDE_FULLTEXT,LINEAGE_QUOTA,Spectral graph wavelet network FD with sensor-graph inductive bias (TCYB); L4 graph-structure evidence,L4_structured_chain_graph_dynamics,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
146,doi:10.1109/tkde.2021.3112126,10.1109/tkde.2021.3112126,,Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress,Renjie Wu; Eamonn Keogh,2021,IEEE Transactions on Knowledge and Data Engineering,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,INCLUDE_FULLTEXT,METHOD_RELEVANT,Wu-Keogh flawed-benchmark critique (TKDE); protocol-defining for our benchmark gate,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
147,doi:10.1145/3580305.3599295,10.1145/3580305.3599295,,DCdetector: Dual Attention Contrastive Representation Learning for Time Series Anomaly Detection,Yiyuan Yang; Chaoli Zhang; Tian Zhou; Qingsong Wen; Liang Sun,2023,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,INCLUDE_FULLTEXT,METHOD_RELEVANT,"DCdetector (KDD23) contrastive TSAD; candidate for frozen recent-MTSAD baseline slot (code, PA usage to audit)",L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
148,doi:10.1145/3609333,10.1145/3609333,,A Survey on Explainable Anomaly Detection,Zhong Li; Yuxuan Zhu; Matthijs van Leeuwen,2023,ACM Transactions on Knowledge Discovery from Data,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,Explainable-AD survey; interpretation background,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
149,doi:10.1186/s12984-022-01065-9,10.1186/s12984-022-01065-9,,Upper limb soft robotic wearable devices: a systematic review,Elena Bardi; Marta Gandolla; Francesco Braghin; Ferruccio Resta; Alessandra Pedrocchi; Emilia Ambrosini,2022,Journal of NeuroEngineering and Rehabilitation,other,L4_structured_chain_graph_dynamics; L5_lie_geometry_equivariant,11.5,true,EXCLUDE,WRONG_OBJECT,Upper-limb exosuit review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
150,doi:10.2139/ssrn.5893822,10.2139/ssrn.5893822,,A Unified Adaptive IoT-Cloud Framework: Modular Smart Device Integration with Neural Network-Driven Anomaly Detection,Beverly Albert,2026,,other,L4_structured_chain_graph_dynamics; L_killer_precision,11.5,false,EXCLUDE,NOT_ROBOT_DOMAIN,IoT-cloud AD framework (SSRN stub),,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
151,doi:10.3390/electronics10212689,10.3390/electronics10212689,,Artificial Neural Networks Based Optimization Techniques: A Review,Maher G. M. Abdolrasol; S. M. Suhail Hussain; Taha Selim Ustun; Mahidur R. Sarker; M. A. Hannan; Ramizi Mohamed; Jamal Abd Ali; Saad Mekhilef; Abdalrhman Milad,2021,Electronics,MDPI,L11_active_diagnosis; L4_structured_chain_graph_dynamics; L5_lie_geometry_equivariant,11.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,ANN optimization review (MDPI),,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
152,doi:10.48550/arxiv.2201.07284,10.48550/arxiv.2201.07284,,TranAD: Deep Transformer Networks for Anomaly Detection in Multivariate Time Series Data,Shreshth Tuli; Giuliano Casale; Nicholas R. Jennings,2022,arXiv (Cornell University),other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.5,true,INCLUDE_FULLTEXT,METHOD_RELEVANT,TranAD (VLDB22) transformer MTSAD with code; candidate for frozen recent-MTSAD baseline slot,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
153,doi:10.48550/arxiv.2405.14458,10.48550/arxiv.2405.14458,,YOLOv10: Real-Time End-to-End Object Detection,Ao Wang; Hui Chen; Lihao Liu; Kai Chen; Zijia Lin; Jungong Han; Guiguang Ding,2024,arXiv (Cornell University),other,L8_public_benchmarks_transfer; L9_foundation_multimodal,11.5,true,EXCLUDE,NOT_ROBOT_DOMAIN,YOLOv10,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
154,tay:uncovering vulnerability of vision language action models under joint level physical faults|jo|2026,,2606.10501v1,Uncovering Vulnerability of Vision-Language-Action Models under Joint-Level Physical Faults,Minsoo Jo; 권태주; Junha Chun; Youngjoon Jeong; Taesup Kim,2026,arXiv (Cornell University),other,L2_manipulator_actuator_sensor_fdi; L6_contact_collision_localization,11.5,true,INCLUDE_PRIORITY,DIRECT_NEIGHBOR_CANDIDATE,"VLA policies probed under joint-level physical faults (2026); newest foundation-model x embodiment-fault intersection, L9",L9_foundation_multimodal,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
155,doi:10.24963/ijcai.2022/394,10.24963/ijcai.2022/394,,Neural Contextual Anomaly Detection for Time Series,Chris U. Carmona; François-Xavier Aubet; Valentín Flunkert; Jan Gasthaus,2022,,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.476,true,INCLUDE_FULLTEXT,METHOD_RELEVANT,NCAD contextual AD (IJCAI22); context-window formulation relevant to context-conditioned health line,L7_mtsad_context_ood_sequential,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
156,doi:10.1109/access.2022.3216007,10.1109/access.2022.3216007,,A Review of Neural Networks for Anomaly Detection,José Edson de Albuquerque Filho; Laislla Carolina Pinheiro Brandão; Bruno Fernandes; Alexandre Magno Andrade Maciel,2022,IEEE Access,other,L7_mtsad_context_ood_sequential; L8_public_benchmarks_transfer,11.457,true,EXCLUDE,SURVEY_TANGENTIAL,NN-AD model review,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
157,doi:10.1145/3729222,10.1145/3729222,,Networking Systems for Video Anomaly Detection: A Tutorial and Survey,Jing Liu; Yang Liu; Jieyu Lin; Jielin Li; Liang Cao; Peng Sun; Bo Hu; Liang Song; Azzedine Boukerche; Victor C. M. Leung,2025,ACM Computing Surveys,other,L10_cross_robot_few_shot; L7_mtsad_context_ood_sequential,11.457,true,EXCLUDE,NOT_ROBOT_DOMAIN,Video AD survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
158,doi:10.1007/978-981-96-4395-0_5,10.1007/978-981-96-4395-0_5,,Cross-Chain Traffic Anomaly Detection,Peng Jiang; Liehuang Zhu,2025,Blockchain Technology,other,L10_cross_robot_few_shot; L8_public_benchmarks_transfer,11.416,false,EXCLUDE,NOT_ROBOT_DOMAIN,Blockchain traffic AD chapter,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
159,doi:10.1109/tase.2026.3660830,10.1109/tase.2026.3660830,,Toward Generalist Neural Motion Planners for Robotic Manipulators: Challenges and Opportunities,Davood Soleymanzadeh; Iván López-Sánchez; Hao Su; Yunzhu Li; Xiao Liang; Minghui Zheng,2026,IEEE Transactions on Automation Science and Engineering,C,L5_lie_geometry_equivariant; L9_foundation_multimodal,11.416,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Neural motion planning perspective,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
160,doi:10.48550/arxiv.2408.15831,10.48550/arxiv.2408.15831,,Towards Optimized Parallel Robots for Human-Robot Collaboration by Combined Structural and Dimensional Synthesis,Aran Mohammad; Thomas Seel; Moritz Schappler,2024,arXiv (Cornell University),other,L3_learned_momentum_observer; L6_contact_collision_localization,11.416,true,EXCLUDE,NOT_FAULT_ANOMALY_TOPIC,Parallel-robot structural synthesis for HRC,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
161,doi:10.3389/frobt.2025.1604472,10.3389/frobt.2025.1604472,,Multimodal perception-driven decision-making for human-robot interaction: a survey,Wenzheng Zhao; Kruthika Gangaraju; Fengpei Yuan,2025,Frontiers in Robotics and AI,other,L5_lie_geometry_equivariant; L9_foundation_multimodal,11.355,true,EXCLUDE,SURVEY_TANGENTIAL,Multimodal HRI decision-making survey,,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
162,doi:10.1109/access.2026.3658108,10.1109/access.2026.3658108,,Zero-Shot Visual Anomaly Detection on a Quadruped Robot Using State of the Art Visual Language Models,Omur Aydogmus; Gullu Boztas,2026,IEEE Access,other,L_killer_precision; L_recent_2025_2026,11.332,true,INCLUDE_BACKGROUND,CONTEXT_RELEVANT,"VLM zero-shot visual AD on quadruped; foundation-model robot-AD trend, wrong modality/platform",L9_foundation_multimodal,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
163,doi:10.3390/machines13040334,10.3390/machines13040334,,MomentumNet-CD: Real-Time Collision Detection for Industrial Robots Based on Momentum Observer with Optimized BP Neural Network,Jinhua Ye; Yechen Fan; Quanjie Kang; Xiaohan Liu; Haibin Wu; Gengfeng Zheng,2025,Machines,MDPI,L3_learned_momentum_observer; L7_mtsad_context_ood_sequential,11.332,true,INCLUDE_BACKGROUND,VENUE_EXCLUDED_MDPI,MOB + optimized BP net collision detection (Machines 2025),L3_learned_momentum_observer,2026-08-24T03:12:11+00:00,claude_fable_5_paper_reset_v2
